filename,filepath,total_rows,total_columns,analyzed_columns,filled_rows,incomplete_rows,empty_rows,empty_cell_percentage,data_dict_file,data_dict_status,total_variables,status
abcd_ip01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_ip01.txt,467,144,133,1,466,0,19.26,NOT FOUND,no match,0,success
abcd_dmdtifp201.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_dmdtifp201.txt,19588,231,220,0,18719,869,4.87,NOT FOUND,no match,0,success
abcd_pbp01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_pbp01.txt,16666,17,6,16627,0,39,0.23,NOT FOUND,no match,0,success
separation_anxiety_p01.txt,/home/rif17002/honors_thesis/ABCD_files/separation_anxiety_p01.txt,33516,51,40,1,19977,13538,89.07,NOT FOUND,no match,0,success
social_anxiety_disorder_p01.txt,/home/rif17002/honors_thesis/ABCD_files/social_anxiety_disorder_p01.txt,33516,67,56,1,0,33515,100.0,NOT FOUND,no match,0,success
abcd_fsurfqc01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_fsurfqc01.txt,19599,24,13,1,19598,0,73.69,NOT FOUND,no match,0,success
abcd_pssrs01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_pssrs01.txt,11226,23,12,11211,15,0,0.12,NOT FOUND,no match,0,success
abcd_socdev_p_pdis01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_socdev_p_pdis01.txt,2301,61,50,2229,69,3,0.21,NOT FOUND,no match,0,success
omics_experiments.txt,/home/rif17002/honors_thesis/ABCD_files/omics_experiments.txt,4,24,13,4,0,0,0.0,NOT FOUND,no match,0,success
abcd_socdev_vt01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_socdev_vt01.txt,2301,17,6,616,1685,0,12.21,NOT FOUND,no match,0,success
bipolar_disorders_p01.txt,/home/rif17002/honors_thesis/ABCD_files/bipolar_disorders_p01.txt,33516,101,90,1,19978,13537,90.27,NOT FOUND,no match,0,success
abcd_tztab01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_tztab01.txt,39767,39,28,1,1681,38085,96.2,NOT FOUND,no match,0,success
abcd_midr1bwdp101.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_midr1bwdp101.txt,17220,982,971,17114,56,50,0.42,NOT FOUND,no match,0,success
abcd_ypsq201.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_ypsq201.txt,22291,21,10,1689,0,20602,92.42,NOT FOUND,no match,0,success
abcd_yn01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_yn01.txt,27891,32,21,1,22151,5739,93.72,NOT FOUND,no match,0,success
soc_dev_fu_visit_type01.txt,/home/rif17002/honors_thesis/ABCD_files/soc_dev_fu_visit_type01.txt,1627,27,16,1,1626,0,41.02,NOT FOUND,no match,0,success
abcd_nsc01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_nsc01.txt,33516,12,1,33453,0,63,0.19,NOT FOUND,no match,0,success
abcd_devhxss01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_devhxss01.txt,11877,28,17,10228,1563,86,4.08,NOT FOUND,no match,0,success
abcd_drsip201.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_drsip201.txt,19588,749,738,18680,39,869,4.44,NOT FOUND,no match,0,success
abcd_pxccp01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_pxccp01.txt,10415,22,11,10333,82,0,0.72,NOT FOUND,no match,0,success
opp_defiant_disorder_p01.txt,/home/rif17002/honors_thesis/ABCD_files/opp_defiant_disorder_p01.txt,33516,46,35,1,29750,3765,76.66,NOT FOUND,no match,0,success
abcd_ypre201.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_ypre201.txt,22291,21,10,1679,1,20611,92.46,NOT FOUND,no match,0,success
abcd_gdss01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_gdss01.txt,10415,28,17,1,9848,566,11.0,NOT FOUND,no match,0,success
abcd_mrfindings02.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_mrfindings02.txt,28542,13,2,7872,11892,8778,51.59,NOT FOUND,no match,0,success
abcd_bpm01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_bpm01.txt,62292,31,20,1,62238,53,5.08,NOT FOUND,no match,0,success
abcd_pssudse01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_pssudse01.txt,16666,259,248,1,0,16665,99.99,NOT FOUND,no match,0,success
neglectful_behavior01.txt,/home/rif17002/honors_thesis/ABCD_files/neglectful_behavior01.txt,6252,20,9,6245,2,5,0.08,NOT FOUND,no match,0,success
genomics_sample03.txt,/home/rif17002/honors_thesis/ABCD_files/genomics_sample03.txt,10218,59,48,1,10217,0,62.49,NOT FOUND,no match,0,success
soc_dev_fu_victimize01.txt,/home/rif17002/honors_thesis/ABCD_files/soc_dev_fu_victimize01.txt,1627,883,872,1,1626,0,84.98,NOT FOUND,no match,0,success
abcd_tfnbr1semdp201.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_tfnbr1semdp201.txt,16852,372,361,16714,40,98,0.7,NOT FOUND,no match,0,success
abcd_ehis01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_ehis01.txt,11877,17,6,11493,384,0,0.57,NOT FOUND,no match,0,success
abcd_ywpss01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_ywpss01.txt,17477,18,7,1,17460,16,14.36,NOT FOUND,no match,0,success
abcd_mtpa01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_mtpa01.txt,10415,69,58,1,10414,0,91.1,NOT FOUND,no match,0,success
abcd_midr2semp202.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_midr2semp202.txt,16570,691,680,16416,101,53,0.5,NOT FOUND,no match,0,success
abcd_ysr01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_ysr01.txt,28542,23,12,305,28237,0,29.23,NOT FOUND,no match,0,success
abcd_sds01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_sds01.txt,39767,38,27,39529,238,0,0.47,NOT FOUND,no match,0,success
midaparc03.txt,/home/rif17002/honors_thesis/ABCD_files/midaparc03.txt,17233,323,312,17134,99,0,0.34,NOT FOUND,no match,0,success
abcd_socdev_child_vic01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_socdev_child_vic01.txt,2301,862,851,1,2300,0,82.72,NOT FOUND,no match,0,success
bteeth01.txt,/home/rif17002/honors_thesis/ABCD_files/bteeth01.txt,11877,12,1,4931,0,6946,58.48,NOT FOUND,no match,0,success
prq01.txt,/home/rif17002/honors_thesis/ABCD_files/prq01.txt,39767,22,11,17116,22651,0,15.12,NOT FOUND,no match,0,success
sports_activ_read_music_p01.txt,/home/rif17002/honors_thesis/ABCD_files/sports_activ_read_music_p01.txt,6252,20,9,3373,2879,0,18.09,NOT FOUND,no match,0,success
abcd_ddtifp101.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_ddtifp101.txt,19588,982,971,18686,33,869,4.44,NOT FOUND,no match,0,success
