"subjectkey","subjectkey_numeric","class","prob1","prob2","prob3","prob4","prob5"
"NDAR_INV6H7448TR",2470,4,1.01586587758106e-05,1.55455857874476e-14,0.433392165843838,0.566417283378418,0.000180392118952962
"NDAR_INV6H9BMNN8",2471,4,0.00895563618468865,3.23945919045241e-07,0.407977275970387,0.533222563792905,0.0498442001060999
"NDAR_INV6HAPRB0L",2472,4,4.16143678468273e-05,3.10557414195412e-15,0.433402908602194,0.566437696506818,0.000117780523137506
"NDAR_INV6HGTDBGT",2473,4,4.7666855331484e-06,5.35333940467125e-19,0.433472197621941,0.566521840230986,1.19546154035242e-06
"NDAR_INV6HGWZFVC",2474,4,0.0170884548590086,7.53565326807554e-07,0.400688169123435,0.523697869891008,0.0585247525612215
"NDAR_INV6HH7ZULZ",2475,1,0.9992188763778,0.000766359044602335,8.78989503438195e-08,1.14896572795558e-07,1.45617820741676e-05
"NDAR_INV6HJXU3XZ",2476,4,0.000121312947543085,1.86498938994252e-12,0.432805547146505,0.565660594117382,0.00141254578670431
"NDAR_INV6HRC5TN7",2477,1,0.978828320021946,2.96726893141014e-09,0.00912754603248835,0.0119302415373411,0.000113889440955443
"NDAR_INV6HRCV5FM",2478,4,0.0354169582827507,8.40250163656494e-09,0.41218789529455,0.53873216098011,0.0136629770400879
"NDAR_INV6HTEC707",2479,4,1.84895213773308e-05,1.63246412695205e-17,0.433462562571175,0.566512910903552,6.03700389624592e-06
"NDAR_INV6HTXA830",2480,4,7.54957577624595e-06,5.86224684949e-15,0.433192710399701,0.566155457050006,0.00064428297451033
"NDAR_INV6HVN64HM",2481,4,9.4025766401492e-05,1.23831092625598e-17,0.433428747631179,0.566475693375556,1.53322686367016e-06
"NDAR_INV6HZWUM71",2482,2,0.000736762184075232,0.999262917446665,1.74604433539053e-12,2.28236589394071e-12,3.20365231456443e-07
"NDAR_INV6J2LL0DX",2483,4,0.000179491029237562,4.15606107939331e-15,0.43336920257616,0.566399595454318,5.17109402808237e-05
"NDAR_INV6J2PR0YF",2484,4,0.0001662990445136,2.80373490195356e-07,0.414433707912614,0.541641784868733,0.0437579278006495
"NDAR_INV6J4KCFWV",2485,4,1.73076500523255e-05,4.10218267550172e-15,0.43334825772442,0.566362431944371,0.000272002681153073
"NDAR_INV6J8LBGU5",2486,4,0.0102408049302678,4.30262826013844e-14,0.429013624427099,0.560720013322927,2.55573196632689e-05
"NDAR_INV6J9EV4DL",2487,2,0.000916095229084177,0.99908329491713,5.92952805675667e-14,7.75098711733253e-14,6.09853649128869e-07
"NDAR_INV6J9PLWZH",2488,4,2.03239479161438e-05,2.14783392207345e-12,0.431485724443415,0.563925693539359,0.00456825806716259
"NDAR_INV6JA3GMT0",2489,5,0.0266255568264483,3.72876954341197e-06,0.0394940496751742,0.0516190374358496,0.882257627292984
"NDAR_INV6JAHU3DT",2490,4,4.7666855331484e-06,5.35333940467125e-19,0.433472197621941,0.566521840230986,1.19546154035242e-06
"NDAR_INV6JBD5MP2",2491,4,0.000179491029237562,4.15606107939331e-15,0.43336920257616,0.566399595454318,5.17109402808237e-05
"NDAR_INV6JF8WUYT",2492,2,0.00087210657343641,0.998222544572853,2.52376615135729e-10,3.29881445960914e-10,0.000905348271452997
"NDAR_INV6JFY5LBB",2493,4,3.63556869760183e-06,2.15191685612733e-17,0.433464339651454,0.566508256136629,2.3768643219401e-05
"NDAR_INV6JHNJJUB",2494,4,4.7666855331484e-06,5.35333940467125e-19,0.433472197621941,0.566521840230986,1.19546154035242e-06
"NDAR_INV6JJBMHZL",2495,4,0.16680211416578,1.56266606325464e-09,0.357563372736778,0.467339741427385,0.00829477010739041
"NDAR_INV6JJFGCTX",2496,4,4.7666855331484e-06,5.35333940467125e-19,0.433472197621941,0.566521840230986,1.19546154035242e-06
